strain	accession	segment	date	virus
A/duck/Bangladesh/35434/2018	EPI_ISL_388033	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35346/2018	EPI_ISL_388030	HA	2018-04-27	A / H5N1
A/duck/Bangladesh/35435/2018	EPI_ISL_388029	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35343/2018	EPI_ISL_388028	HA	2018-04-27	A / H5N1
A/duck/Bangladesh/35438/2018	EPI_ISL_388027	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35293/2018	EPI_ISL_388025	HA	2018-04-26	A / H5N1
A/duck/Bangladesh/35437/2018	EPI_ISL_388021	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35389/2018	EPI_ISL_388020	HA	2018-04-28	A / H5N1
A/duck/Bangladesh/35723/2018	EPI_ISL_388019	HA	2018-08-09	A / H5N1
A/duck/Bangladesh/35439/2018	EPI_ISL_388018	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35829/2018	EPI_ISL_388017	HA	2018-10-30	A / H5N1
A/duck/Bangladesh/35602/2018	EPI_ISL_388016	HA	2018-08-09	A / H5N1
A/duck/Bangladesh/35440/2018	EPI_ISL_388015	HA	2018-06-05	A / H5N1
A/duck/Bangladesh/35672/2018	EPI_ISL_388014	HA	2018-08-09	A / H5N1
A/chicken/Bangladesh/35579/2018	EPI_ISL_388013	HA	2018-08-09	A / H5N1
A/duck/Bangladesh/35600/2018	EPI_ISL_388011	HA	2018-08-09	A / H5N1
A/duck/Bangladesh/35921/2018	EPI_ISL_388009	HA	2018-12-18	A / H5N1
A/duck/Bangladesh/35827/2018	EPI_ISL_388007	HA	2018-10-30	A / H5N1
A/duck/Bangladesh/35835/2018	EPI_ISL_388004	HA	2018-10-30	A / H5N1
A/duck/Bangladesh/35833/2018	EPI_ISL_388003	HA	2018-10-30	A / H5N1
A/duck/Bangladesh/35924/2018	EPI_ISL_388001	HA	2018-12-18	A / H5N1
A/duck/Bangladesh/35986/2018	EPI_ISL_387997	HA	2018-12-18	A / H5N1
A/duck/Bangladesh/36037/2018	EPI_ISL_387993	HA	2018-12-15	A / H5N1
A/duck/Bangladesh/36042/2018	EPI_ISL_387992	HA	2018-12-15	A / H5N1
A/duck/Bangladesh/35222/2018	EPI_ISL_387982	HA	2018-04-26	A / H5N1
A/duck/Bangladesh/35226/2018	EPI_ISL_387980	HA	2018-04-26	A / H5N1
A/duck/Bangladesh/45724/2020	EPI_ISL_4073198	HA	2020-08-22	A / H5N1
A/duck/Bangladesh/45726/2020	EPI_ISL_4073190	HA	2020-08-22	A / H5N1
A/duck/Bangladesh/45729/2020	EPI_ISL_4073120	HA	2020-08-22	A / H5N1
A/duck/Bangladesh/41248/2019	EPI_ISL_4071764	HA	2019-12-11	A / H5N1
A/quail/Bangladesh/41266/2019	EPI_ISL_4071837	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/41253/2019	EPI_ISL_4071799	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/41322/2019	EPI_ISL_4071730	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/43411/2020	EPI_ISL_4071726	HA	2020-02-19	A / H5N1
A/duck/Bangladesh/41320/2019	EPI_ISL_4071699	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/41250/2019	EPI_ISL_4071647	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/41258/2019	EPI_ISL_4071640	HA	2019-12-11	A / H5N1
A/duck/Bangladesh/43521/2020	EPI_ISL_4071630	HA	2020-02-18	A / H5N1
A/Mallard_Anasplatyrhynchos_/SouthKorea/KNU2019-20/2019	EPI_ISL_4071029	HA	2019-03-03	A / H5N1
A/Anserindicus/India/AIVA286CADIndia/2020	EPI_ISL_4061711	HA	2020-12-31	A / H5N1
A/duck/SidenrengRappang/A07180110-11/2018	EPI_ISL_4061492	HA	2018-08-15	A / H5N1
A/duck/Hunan/03.07_YYGK1L3-OC/2018	EPI_ISL_697879	HA	2018-03-07	A / H5N1
A/duck/Hunan/4.12_YYGK34L3-OC/2018	EPI_ISL_697883	HA	2018-04-12	A / H5N1
A/chicken/VietNam/HU12-661/2019	EPI_ISL_504983	HA	2019-08-30	A / H5N1
A/chicken/VietNam/HU12-657/2019	EPI_ISL_504982	HA	2019-08-30	A / H5N1
A/chicken/ThatengDistrict/NL-1942889/2018	EPI_ISL_504926	HA	2018-10-10	A / H5N1
A/chicken/ThatengDistrict/NL-1942888/2018	EPI_ISL_504925	HA	2018-10-10	A / H5N1
A/chicken/VietNam/HU12-668/2019	EPI_ISL_503598	HA	2019-08-30	A / H5N1
A/chicken/VietNam/HU12-667/2019	EPI_ISL_503597	HA	2019-08-30	A / H5N1
A/chicken/VietNam/HU12-666/2019	EPI_ISL_503596	HA	2019-08-30	A / H5N1
A/chicken/VietNam/HU12-665/2019	EPI_ISL_503595	HA	2019-08-30	A / H5N1
A/chicken/VietNam/HU12-669/2019	EPI_ISL_503593	HA	2019-08-30	A / H5N1
A/duck/Bangladesh/40825/2019	EPI_ISL_503539	HA	2019-09-13	A / H5N1
A/duck/Bangladesh/40832/2019	EPI_ISL_503534	HA	2019-09-13	A / H5N1
A/duck/Bangladesh/40416/2019	EPI_ISL_503532	HA	2019-07-11	A / H5N1
A/duck/Bangladesh/40826/2019	EPI_ISL_503530	HA	2019-09-13	A / H5N1
A/duck/Bangladesh/40532/2019	EPI_ISL_503522	HA	2019-07-10	A / H5N1
A/duck/Bangladesh/40524/2019	EPI_ISL_503514	HA	2019-07-11	A / H5N1
A/duck/Bangladesh/40528/2019	EPI_ISL_503505	HA	2019-07-10	A / H5N1
A/duck/Bangladesh/40638/2019	EPI_ISL_503503	HA	2019-08-19	A / H5N1
A/duck/Bangladesh/38287/2019	EPI_ISL_503497	HA	2019-02-18	A / H5N1
A/duck/Bangladesh/40641/2019	EPI_ISL_503491	HA	2019-08-19	A / H5N1
A/chicken/Bangladesh/40446/2019	EPI_ISL_503485	HA	2019-07-11	A / H5N1
A/duck/Bangladesh/38175/2019	EPI_ISL_503479	HA	2019-02-19	A / H5N1
A/Duck/VietNam/HU12-1378/2019	EPI_ISL_501650	HA	2019-08-01	A / H5N1
A/duck/Vietnam/HU10-1815/2018	EPI_ISL_393326	HA	2018-08-30	A / H5N1
A/duck/Vietnam/HU10-1759/2018	EPI_ISL_393325	HA	2018-08-30	A / H5N1
A/duck/Vietnam/HU10-1757/2018	EPI_ISL_393324	HA	2018-08-30	A / H5N1
A/duck/Vietnam/HU10-1756/2018	EPI_ISL_393323	HA	2018-08-30	A / H5N1
A/Muscovyduck/Vietnam/HU10-1705/2018	EPI_ISL_393320	HA	2018-08-30	A / H5N1
A/Muscovyduck/Vietnam/HU10-1703/2018	EPI_ISL_393319	HA	2018-08-30	A / H5N1
A/goose/Vietnam/HU10-1140/2018	EPI_ISL_393317	HA	2018-08-28	A / H5N1
A/Muscovyduck/Vietnam/HU10-1139/2018	EPI_ISL_389665	HA	2018-08-27	A / H5N1
A/chicken/Vietnam/HU10-1051/2018	EPI_ISL_389663	HA	2018-08-27	A / H5N1
A/chicken/Vietnam/HU10-1044/2018	EPI_ISL_389662	HA	2018-08-27	A / H5N1
A/duck/Bangladesh/34743/2018	EPI_ISL_379720	HA	2018-01-24	A / H5N1
A/duck/Bangladesh/34744/2018	EPI_ISL_379699	HA	2018-01-24	A / H5N1
A/duck/Bangladesh/34745/2018	EPI_ISL_379692	HA	2018-01-24	A / H5N1
A/duck/Bangladesh/34752/2018	EPI_ISL_379709	HA	2018-01-24	A / H5N1
A/duck/Bangladesh/34590/2018	EPI_ISL_379715	HA	2018-01-23	A / H5N1
A/duck/Bangladesh/34749/2018	EPI_ISL_379695	HA	2018-01-24	A / H5N1
A/duck/Bangladesh/34751/2018	EPI_ISL_379691	HA	2018-01-24	A / H5N1
A/duck/Laos/NL-1504599/2018	EPI_ISL_337529	HA	2018-02-07	A / H5N1
A/duck/Bangladesh/3230/2019_H5N1_	EPI_ISL_3941210	HA	2019-08-07	A / H5N1
A/duck/Bangladesh/3144/2019_H5N1_	EPI_ISL_3941129	HA	2019-08-02	A / H5N1
A/duck/Bangladesh/3097/2019_H5N1_	EPI_ISL_3940694	HA	2019-08-01	A / H5N1
A/duck/Bangladesh/3093/2019_H5N1_	EPI_ISL_3940664	HA	2019-08-01	A / H5N1
A/goose/Bangladesh/2558/2019_H5N1_	EPI_ISL_3806854	HA	2019-11-16	A / H5N1
A/turkey/Bangladesh/2184/2019_H5N1_	EPI_ISL_3769273	HA	2019-06-12	A / H5N1
A/chicken/Cambodia/14/2019	EPI_ISL_391094	HA	2019-02-15	A / H5N1
A/chicken/Cambodia/13/2019	EPI_ISL_391093	HA	2019-02-15	A / H5N1
A/chicken/Cambodia/12/2018	EPI_ISL_391092	HA	2018-09-19	A / H5N1
A/chicken/Cambodia/11/2018	EPI_ISL_391091	HA	2018-03-16	A / H5N1
A/chicken/Cambodia/10/2018	EPI_ISL_391090	HA	2018-03-16	A / H5N1
A/chicken/Cambodia/09/2018	EPI_ISL_391089	HA	2018-02-16	A / H5N1
A/chicken/Cambodia/03/2018	EPI_ISL_391088	HA	2018-01-29	A / H5N1
A/chicken/Cambodia/02/2018	EPI_ISL_391087	HA	2018-01-29	A / H5N1
A/chicken/Cambodia/01/2018	EPI_ISL_391086	HA	2018-01-08	A / H5N1
A/chicken/Laos/NL-1810602/2018	EPI_ISL_363571	HA	2018-10-12	A / H5N1
A/chicken/Laos/NL-1810601/2018	EPI_ISL_363570	HA	2018-10-11	A / H5N1
A/chicken/Laos/NL-1810600/2018	EPI_ISL_363569	HA	2018-10-10	A / H5N1
A/duck/Bangladesh/17D1012/2018	EPI_ISL_331119	HA	2018-01-07	A / H5N1
A/duck/Laos/NL-2072066/2020	EPI_ISL_1291197	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072063/2020	EPI_ISL_1291196	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072060/2020	EPI_ISL_1291195	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072073/2020	EPI_ISL_1290975	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072072/2020	EPI_ISL_1290974	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072071/2020	EPI_ISL_1290973	HA	2020-10-16	A / H5N1
A/duck/Laos/NL-2072070/2020	EPI_ISL_1290972	HA	2020-10-16	A / H5N1
